ky_tu,so_anh_chua,ty_le_anh,tong_so_lan_xuat_hien,ty_le_tan_suat
龜,39,0.1018%,40,0.0087%
𬖉,40,0.1044%,40,0.0087%
󰡲,40,0.1044%,40,0.0087%
倘,37,0.0966%,39,0.0085%
双,30,0.0783%,39,0.0085%
埮,39,0.1018%,39,0.0085%
塞,39,0.1018%,39,0.0085%
帛,39,0.1018%,39,0.0085%
憂,36,0.0940%,39,0.0085%
抵,39,0.1018%,39,0.0085%
拘,38,0.0992%,39,0.0085%
最,39,0.1018%,39,0.0085%
淹,39,0.1018%,39,0.0085%
盆,36,0.0940%,39,0.0085%
罰,39,0.1018%,39,0.0085%
葛,39,0.1018%,39,0.0085%
讐,39,0.1018%,39,0.0085%
配,39,0.1018%,39,0.0085%
𣅶,36,0.0940%,39,0.0085%
𨉓,38,0.0992%,39,0.0085%
𮎦,36,0.0940%,39,0.0085%
兩,34,0.0887%,38,0.0083%
彗,38,0.0992%,38,0.0083%
恊,36,0.0940%,38,0.0083%
暗,38,0.0992%,38,0.0083%
樞,38,0.0992%,38,0.0083%
模,36,0.0940%,38,0.0083%
狀,38,0.0992%,38,0.0083%
畨,36,0.0940%,38,0.0083%
脚,38,0.0992%,38,0.0083%
薄,38,0.0992%,38,0.0083%
藥,38,0.0992%,38,0.0083%
警,37,0.0966%,38,0.0083%
豫,38,0.0992%,38,0.0083%
軰,38,0.0992%,38,0.0083%
輿,37,0.0966%,38,0.0083%
途,37,0.0966%,38,0.0083%
酋,37,0.0966%,38,0.0083%
隐,36,0.0940%,38,0.0083%
雜,37,0.0966%,38,0.0083%
麟,37,0.0966%,38,0.0083%
𫳵,37,0.0966%,38,0.0083%
󰔄,37,0.0966%,38,0.0083%
󰦛,38,0.0992%,38,0.0083%
㵢,36,0.0940%,37,0.0081%
噲,37,0.0966%,37,0.0081%
圓,37,0.0966%,37,0.0081%
扈,36,0.0940%,37,0.0081%
把,36,0.0940%,37,0.0081%
掑,37,0.0966%,37,0.0081%
案,37,0.0966%,37,0.0081%
構,37,0.0966%,37,0.0081%
汰,37,0.0966%,37,0.0081%
洳,37,0.0966%,37,0.0081%
盘,37,0.0966%,37,0.0081%
盤,37,0.0966%,37,0.0081%
竄,37,0.0966%,37,0.0081%
竟,37,0.0966%,37,0.0081%
粟,37,0.0966%,37,0.0081%
紙,33,0.0861%,37,0.0081%
舶,34,0.0887%,37,0.0081%
荘,36,0.0940%,37,0.0081%
賁,35,0.0913%,37,0.0081%
醝,37,0.0966%,37,0.0081%
頗,37,0.0966%,37,0.0081%
馳,37,0.0966%,37,0.0081%
𤽗,37,0.0966%,37,0.0081%
𦑃,37,0.0966%,37,0.0081%
㦃,33,0.0861%,36,0.0078%
䂓,35,0.0913%,36,0.0078%
仰,36,0.0940%,36,0.0078%
劫,35,0.0913%,36,0.0078%
吟,36,0.0940%,36,0.0078%
坡,36,0.0940%,36,0.0078%
墀,32,0.0835%,36,0.0078%
寵,36,0.0940%,36,0.0078%
慢,35,0.0913%,36,0.0078%
末,35,0.0913%,36,0.0078%
歛,36,0.0940%,36,0.0078%
殊,35,0.0913%,36,0.0078%
毀,36,0.0940%,36,0.0078%
簒,36,0.0940%,36,0.0078%
繁,33,0.0861%,36,0.0078%
羣,36,0.0940%,36,0.0078%
胣,36,0.0940%,36,0.0078%
臘,36,0.0940%,36,0.0078%
血,35,0.0913%,36,0.0078%
辱,36,0.0940%,36,0.0078%
鳳,36,0.0940%,36,0.0078%
齋,36,0.0940%,36,0.0078%
𢢆,36,0.0940%,36,0.0078%
𦓡,35,0.0913%,36,0.0078%
丹,35,0.0913%,35,0.0076%
側,34,0.0887%,35,0.0076%
傕,34,0.0887%,35,0.0076%
僥,34,0.0887%,35,0.0076%
儉,35,0.0913%,35,0.0076%
冗,35,0.0913%,35,0.0076%
卧,35,0.0913%,35,0.0076%
友,32,0.0835%,35,0.0076%
另,34,0.0887%,35,0.0076%
哲,34,0.0887%,35,0.0076%
唱,34,0.0887%,35,0.0076%
困,35,0.0913%,35,0.0076%
夙,35,0.0913%,35,0.0076%
奈,35,0.0913%,35,0.0076%
婚,34,0.0887%,35,0.0076%
忙,33,0.0861%,35,0.0076%
擢,35,0.0913%,35,0.0076%
材,35,0.0913%,35,0.0076%
栢,33,0.0861%,35,0.0076%
樓,32,0.0835%,35,0.0076%
樣,31,0.0809%,35,0.0076%
沔,35,0.0913%,35,0.0076%
涓,34,0.0887%,35,0.0076%
燶,35,0.0913%,35,0.0076%
盐,32,0.0835%,35,0.0076%
短,34,0.0887%,35,0.0076%
舞,33,0.0861%,35,0.0076%
芸,32,0.0835%,35,0.0076%
菩,35,0.0913%,35,0.0076%
蕩,29,0.0757%,35,0.0076%
賖,35,0.0913%,35,0.0076%
賴,35,0.0913%,35,0.0076%
述,35,0.0913%,35,0.0076%
驅,35,0.0913%,35,0.0076%
𣃣,33,0.0861%,35,0.0076%
𥆾,35,0.0913%,35,0.0076%
󰏲,35,0.0913%,35,0.0076%
󰦓,35,0.0913%,35,0.0076%
住,34,0.0887%,34,0.0074%
倒,34,0.0887%,34,0.0074%
卑,33,0.0861%,34,0.0074%
巴,34,0.0887%,34,0.0074%
扲,34,0.0887%,34,0.0074%
撰,33,0.0861%,34,0.0074%
擅,34,0.0887%,34,0.0074%
攝,33,0.0861%,34,0.0074%
普,34,0.0887%,34,0.0074%
歡,34,0.0887%,34,0.0074%
洲,32,0.0835%,34,0.0074%
游,29,0.0757%,34,0.0074%
漏,30,0.0783%,34,0.0074%
牌,32,0.0835%,34,0.0074%
疋,31,0.0809%,34,0.0074%
禎,34,0.0887%,34,0.0074%
箇,30,0.0783%,34,0.0074%
粉,34,0.0887%,34,0.0074%
舅,33,0.0861%,34,0.0074%
誰,34,0.0887%,34,0.0074%
难,31,0.0809%,34,0.0074%
露,34,0.0887%,34,0.0074%
面,33,0.0861%,34,0.0074%
魏,33,0.0861%,34,0.0074%
魯,33,0.0861%,34,0.0074%
𢷀,34,0.0887%,34,0.0074%
𤱈,27,0.0705%,34,0.0074%
𧖱,34,0.0887%,34,0.0074%
𨿽,34,0.0887%,34,0.0074%
𩈘,33,0.0861%,34,0.0074%
𫗄,34,0.0887%,34,0.0074%
𰙔,33,0.0861%,34,0.0074%
󰊹,32,0.0835%,34,0.0074%
乏,30,0.0783%,33,0.0072%
句,33,0.0861%,33,0.0072%
囂,27,0.0705%,33,0.0072%
宦,33,0.0861%,33,0.0072%
序,32,0.0835%,33,0.0072%
怠,33,0.0861%,33,0.0072%
愚,33,0.0861%,33,0.0072%
技,33,0.0861%,33,0.0072%
机,33,0.0861%,33,0.0072%
森,33,0.0861%,33,0.0072%
歐,33,0.0861%,33,0.0072%
殆,33,0.0861%,33,0.0072%
浦,32,0.0835%,33,0.0072%
綂,32,0.0835%,33,0.0072%
續,33,0.0861%,33,0.0072%
蔭,33,0.0861%,33,0.0072%
裊,33,0.0861%,33,0.0072%
軒,33,0.0861%,33,0.0072%
辞,33,0.0861%,33,0.0072%
逰,31,0.0809%,33,0.0072%
鳴,32,0.0835%,33,0.0072%
𠄽,33,0.0861%,33,0.0072%
𠖈,33,0.0861%,33,0.0072%
𡬷,33,0.0861%,33,0.0072%
𣎃,33,0.0861%,33,0.0072%
𩙌,33,0.0861%,33,0.0072%
𬑉,33,0.0861%,33,0.0072%
󰡎,33,0.0861%,33,0.0072%
丐,32,0.0835%,32,0.0070%
伶,18,0.0470%,32,0.0070%
備,32,0.0835%,32,0.0070%
劍,30,0.0783%,32,0.0070%
壁,32,0.0835%,32,0.0070%
妸,32,0.0835%,32,0.0070%
姑,32,0.0835%,32,0.0070%
屢,31,0.0809%,32,0.0070%
希,31,0.0809%,32,0.0070%
庵,32,0.0835%,32,0.0070%
恒,31,0.0809%,32,0.0070%
探,32,0.0835%,32,0.0070%
朋,32,0.0835%,32,0.0070%
栗,29,0.0757%,32,0.0070%
温,31,0.0809%,32,0.0070%
災,31,0.0809%,32,0.0070%
甫,31,0.0809%,32,0.0070%
絹,30,0.0783%,32,0.0070%
肃,31,0.0809%,32,0.0070%
莊,32,0.0835%,32,0.0070%
跪,32,0.0835%,32,0.0070%
遜,31,0.0809%,32,0.0070%
隔,32,0.0835%,32,0.0070%
韻,31,0.0809%,32,0.0070%
鬪,32,0.0835%,32,0.0070%
魁,32,0.0835%,32,0.0070%
𠯇,32,0.0835%,32,0.0070%
𦟐,32,0.0835%,32,0.0070%
𨃴,32,0.0835%,32,0.0070%
𰿘,32,0.0835%,32,0.0070%
倚,31,0.0809%,31,0.0067%
屡,31,0.0809%,31,0.0067%
悔,31,0.0809%,31,0.0067%
拮,31,0.0809%,31,0.0067%
掛,31,0.0809%,31,0.0067%
柔,31,0.0809%,31,0.0067%
渴,29,0.0757%,31,0.0067%
濁,31,0.0809%,31,0.0067%
碩,27,0.0705%,31,0.0067%
純,31,0.0809%,31,0.0067%
罸,29,0.0757%,31,0.0067%
耆,28,0.0731%,31,0.0067%
肉,31,0.0809%,31,0.0067%
腹,31,0.0809%,31,0.0067%
陌,26,0.0679%,31,0.0067%
鞍,31,0.0809%,31,0.0067%
響,30,0.0783%,31,0.0067%
鹿,28,0.0731%,31,0.0067%
𡎝,31,0.0809%,31,0.0067%
𣆭,30,0.0783%,31,0.0067%
𣴓,31,0.0809%,31,0.0067%
𤼵,30,0.0783%,31,0.0067%
󰱃,31,0.0809%,31,0.0067%
俞,29,0.0757%,30,0.0065%
健,30,0.0783%,30,0.0065%
唅,30,0.0783%,30,0.0065%
姦,30,0.0783%,30,0.0065%
媄,30,0.0783%,30,0.0065%
悁,30,0.0783%,30,0.0065%
憑,30,0.0783%,30,0.0065%
戎,29,0.0757%,30,0.0065%
挑,30,0.0783%,30,0.0065%
損,30,0.0783%,30,0.0065%
敷,29,0.0757%,30,0.0065%
檜,29,0.0757%,30,0.0065%
毛,29,0.0757%,30,0.0065%
砲,29,0.0757%,30,0.0065%
竊,30,0.0783%,30,0.0065%
糧,29,0.0757%,30,0.0065%
耀,30,0.0783%,30,0.0065%
覃,30,0.0783%,30,0.0065%
覈,28,0.0731%,30,0.0065%
註,30,0.0783%,30,0.0065%
賄,30,0.0783%,30,0.0065%
黑,29,0.0757%,30,0.0065%
𡛔,30,0.0783%,30,0.0065%
𩯀,30,0.0783%,30,0.0065%
倉,29,0.0757%,29,0.0063%
偏,28,0.0731%,29,0.0063%
册,29,0.0757%,29,0.0063%
勒,28,0.0731%,29,0.0063%
味,29,0.0757%,29,0.0063%
哥,28,0.0731%,29,0.0063%
喂,29,0.0757%,29,0.0063%
対,29,0.0757%,29,0.0063%
峯,28,0.0731%,29,0.0063%
怯,29,0.0757%,29,0.0063%
恃,28,0.0731%,29,0.0063%
斫,25,0.0652%,29,0.0063%
混,29,0.0757%,29,0.0063%
溢,29,0.0757%,29,0.0063%
澈,29,0.0757%,29,0.0063%
爪,28,0.0731%,29,0.0063%
獸,28,0.0731%,29,0.0063%
璉,27,0.0705%,29,0.0063%
窃,29,0.0757%,29,0.0063%
篡,29,0.0757%,29,0.0063%
綿,26,0.0679%,29,0.0063%
緡,22,0.0574%,29,0.0063%
角,29,0.0757%,29,0.0063%
誥,29,0.0757%,29,0.0063%
賈,26,0.0679%,29,0.0063%
逸,29,0.0757%,29,0.0063%
醫,27,0.0705%,29,0.0063%
際,29,0.0757%,29,0.0063%
須,29,0.0757%,29,0.0063%
𡆫,29,0.0757%,29,0.0063%
𣇜,27,0.0705%,29,0.0063%
𣋚,28,0.0731%,29,0.0063%
𦣰,29,0.0757%,29,0.0063%
𦾔,27,0.0705%,29,0.0063%
𨺻,29,0.0757%,29,0.0063%
㙮,27,0.0705%,28,0.0061%
唏,28,0.0731%,28,0.0061%
宅,28,0.0731%,28,0.0061%
履,28,0.0731%,28,0.0061%
屬,28,0.0731%,28,0.0061%
岱,26,0.0679%,28,0.0061%
忌,27,0.0705%,28,0.0061%
恠,28,0.0731%,28,0.0061%
憤,28,0.0731%,28,0.0061%
懺,28,0.0731%,28,0.0061%
斗,28,0.0731%,28,0.0061%
斥,28,0.0731%,28,0.0061%
梓,28,0.0731%,28,0.0061%
泛,27,0.0705%,28,0.0061%
港,27,0.0705%,28,0.0061%
滯,28,0.0731%,28,0.0061%
激,28,0.0731%,28,0.0061%
獻,25,0.0652%,28,0.0061%
璜,24,0.0626%,28,0.0061%
禪,28,0.0731%,28,0.0061%
篆,28,0.0731%,28,0.0061%
罔,27,0.0705%,28,0.0061%
誤,26,0.0679%,28,0.0061%
迁,28,0.0731%,28,0.0061%
迹,28,0.0731%,28,0.0061%
雀,26,0.0679%,28,0.0061%
雍,27,0.0705%,28,0.0061%
頓,27,0.0705%,28,0.0061%
駭,28,0.0731%,28,0.0061%
鵉,28,0.0731%,28,0.0061%
𠰘,28,0.0731%,28,0.0061%
𡄎,28,0.0731%,28,0.0061%
𡨹,28,0.0731%,28,0.0061%
𤽸,28,0.0731%,28,0.0061%
𥐆,28,0.0731%,28,0.0061%
𦛌,28,0.0731%,28,0.0061%
𦬑,27,0.0705%,28,0.0061%
𮞏,28,0.0731%,28,0.0061%
件,22,0.0574%,27,0.0059%
余,26,0.0679%,27,0.0059%
偷,27,0.0705%,27,0.0059%
僅,27,0.0705%,27,0.0059%
凶,26,0.0679%,27,0.0059%
刘,27,0.0705%,27,0.0059%
勅,26,0.0679%,27,0.0059%
匠,26,0.0679%,27,0.0059%
厭,26,0.0679%,27,0.0059%
培,27,0.0705%,27,0.0059%
墓,26,0.0679%,27,0.0059%
墮,27,0.0705%,27,0.0059%
妑,27,0.0705%,27,0.0059%
媚,24,0.0626%,27,0.0059%
尸,27,0.0705%,27,0.0059%
幣,27,0.0705%,27,0.0059%
弩,25,0.0652%,27,0.0059%
彩,27,0.0705%,27,0.0059%
恨,27,0.0705%,27,0.0059%
拙,27,0.0705%,27,0.0059%
晉,27,0.0705%,27,0.0059%
暇,26,0.0679%,27,0.0059%
湿,27,0.0705%,27,0.0059%
猪,22,0.0574%,27,0.0059%
眼,27,0.0705%,27,0.0059%
竭,27,0.0705%,27,0.0059%
笠,20,0.0522%,27,0.0059%
篇,24,0.0626%,27,0.0059%
羡,26,0.0679%,27,0.0059%
藤,26,0.0679%,27,0.0059%
蝗,27,0.0705%,27,0.0059%
衡,26,0.0679%,27,0.0059%
褒,27,0.0705%,27,0.0059%
詫,27,0.0705%,27,0.0059%
貌,27,0.0705%,27,0.0059%
踈,26,0.0679%,27,0.0059%
躬,27,0.0705%,27,0.0059%
遙,27,0.0705%,27,0.0059%
鏹,27,0.0705%,27,0.0059%
钱,26,0.0679%,27,0.0059%
靜,27,0.0705%,27,0.0059%
飢,27,0.0705%,27,0.0059%
麗,27,0.0705%,27,0.0059%
𤯩,27,0.0705%,27,0.0059%
𧷺,26,0.0679%,27,0.0059%
𫔳,27,0.0705%,27,0.0059%
丿,26,0.0679%,26,0.0057%
勉,25,0.0652%,26,0.0057%
勦,26,0.0679%,26,0.0057%
嗚,26,0.0679%,26,0.0057%
姪,25,0.0652%,26,0.0057%
婆,24,0.0626%,26,0.0057%
彬,23,0.0600%,26,0.0057%
悴,26,0.0679%,26,0.0057%
斜,21,0.0548%,26,0.0057%
欠,24,0.0626%,26,0.0057%
注,26,0.0679%,26,0.0057%
漲,26,0.0679%,26,0.0057%
炎,26,0.0679%,26,0.0057%
矢,25,0.0652%,26,0.0057%
紊,26,0.0679%,26,0.0057%
緩,26,0.0679%,26,0.0057%
脅,26,0.0679%,26,0.0057%
萡,26,0.0679%,26,0.0057%
蔡,25,0.0652%,26,0.0057%
託,26,0.0679%,26,0.0057%
誣,26,0.0679%,26,0.0057%
邀,26,0.0679%,26,0.0057%
邁,24,0.0626%,26,0.0057%
鄙,25,0.0652%,26,0.0057%
錄,26,0.0679%,26,0.0057%
鎌,26,0.0679%,26,0.0057%
鎖,26,0.0679%,26,0.0057%
鐵,26,0.0679%,26,0.0057%
隱,26,0.0679%,26,0.0057%
驥,25,0.0652%,26,0.0057%
髮,25,0.0652%,26,0.0057%
鶴,26,0.0679%,26,0.0057%
𡧲,26,0.0679%,26,0.0057%
𢌌,26,0.0679%,26,0.0057%
𢠩,25,0.0652%,26,0.0057%
𧊉,26,0.0679%,26,0.0057%
󰅾,26,0.0679%,26,0.0057%
󰍶,26,0.0679%,26,0.0057%
󰠱,26,0.0679%,26,0.0057%
亮,23,0.0600%,25,0.0054%
介,25,0.0652%,25,0.0054%
倣,24,0.0626%,25,0.0054%
偉,24,0.0626%,25,0.0054%
凌,21,0.0548%,25,0.0054%
劳,25,0.0652%,25,0.0054%
呵,25,0.0652%,25,0.0054%
咀,24,0.0626%,25,0.0054%
喑,15,0.0391%,25,0.0054%
岐,24,0.0626%,25,0.0054%
懇,24,0.0626%,25,0.0054%
懸,24,0.0626%,25,0.0054%
敏,24,0.0626%,25,0.0054%
曹,25,0.0652%,25,0.0054%
棠,25,0.0652%,25,0.0054%
檻,25,0.0652%,25,0.0054%
沚,25,0.0652%,25,0.0054%
消,25,0.0652%,25,0.0054%
淑,24,0.0626%,25,0.0054%
漁,25,0.0652%,25,0.0054%
牒,24,0.0626%,25,0.0054%
環,23,0.0600%,25,0.0054%
瘴,25,0.0652%,25,0.0054%
纀,25,0.0652%,25,0.0054%
苛,25,0.0652%,25,0.0054%
荆,25,0.0652%,25,0.0054%
荣,24,0.0626%,25,0.0054%
萱,25,0.0652%,25,0.0054%
衰,25,0.0652%,25,0.0054%
製,25,0.0652%,25,0.0054%
覇,25,0.0652%,25,0.0054%
諳,25,0.0652%,25,0.0054%
逋,25,0.0652%,25,0.0054%
邕,25,0.0652%,25,0.0054%
鈔,22,0.0574%,25,0.0054%
鑑,25,0.0652%,25,0.0054%
閑,24,0.0626%,25,0.0054%
鷄,24,0.0626%,25,0.0054%
𡨌,25,0.0652%,25,0.0054%
𤎜,25,0.0652%,25,0.0054%
𤏣,25,0.0652%,25,0.0054%
𨢇,25,0.0652%,25,0.0054%
𫢋,25,0.0652%,25,0.0054%
󰝂,25,0.0652%,25,0.0054%
󰟀,25,0.0652%,25,0.0054%
似,24,0.0626%,24,0.0052%
割,24,0.0626%,24,0.0052%
卢,24,0.0626%,24,0.0052%
厨,23,0.0600%,24,0.0052%
垣,22,0.0574%,24,0.0052%
婵,24,0.0626%,24,0.0052%
嵩,24,0.0626%,24,0.0052%
巧,24,0.0626%,24,0.0052%
庯,24,0.0626%,24,0.0052%
弋,18,0.0470%,24,0.0052%
恾,24,0.0626%,24,0.0052%
拔,24,0.0626%,24,0.0052%
板,24,0.0626%,24,0.0052%
榴,24,0.0626%,24,0.0052%
泄,24,0.0626%,24,0.0052%
泥,24,0.0626%,24,0.0052%
洗,23,0.0600%,24,0.0052%
涇,24,0.0626%,24,0.0052%
璧,23,0.0600%,24,0.0052%
眷,24,0.0626%,24,0.0052%
磊,24,0.0626%,24,0.0052%
租,24,0.0626%,24,0.0052%
算,24,0.0626%,24,0.0052%
簾,24,0.0626%,24,0.0052%
糾,24,0.0626%,24,0.0052%
肇,24,0.0626%,24,0.0052%
荄,24,0.0626%,24,0.0052%
董,24,0.0626%,24,0.0052%
衮,24,0.0626%,24,0.0052%
襨,24,0.0626%,24,0.0052%
踰,24,0.0626%,24,0.0052%
逢,24,0.0626%,24,0.0052%
遏,24,0.0626%,24,0.0052%
銃,24,0.0626%,24,0.0052%
閭,24,0.0626%,24,0.0052%
隋,23,0.0600%,24,0.0052%
韜,24,0.0626%,24,0.0052%
鳥,23,0.0600%,24,0.0052%
鼎,24,0.0626%,24,0.0052%
𤁕,22,0.0574%,24,0.0052%
𧼋,24,0.0626%,24,0.0052%
𫷜,24,0.0626%,24,0.0052%
𮢶,24,0.0626%,24,0.0052%
󰉟,23,0.0600%,24,0.0052%
󰘩,22,0.0574%,24,0.0052%
󰰾,24,0.0626%,24,0.0052%
󱗲,24,0.0626%,24,0.0052%
仗,21,0.0548%,23,0.0050%
偕,23,0.0600%,23,0.0050%
億,23,0.0600%,23,0.0050%
叩,23,0.0600%,23,0.0050%
囬,23,0.0600%,23,0.0050%
座,23,0.0600%,23,0.0050%
弓,18,0.0470%,23,0.0050%
惨,23,0.0600%,23,0.0050%
愧,23,0.0600%,23,0.0050%
抱,22,0.0574%,23,0.0050%
播,23,0.0600%,23,0.0050%
旋,23,0.0600%,23,0.0050%
毅,23,0.0600%,23,0.0050%
浚,22,0.0574%,23,0.0050%
獠,23,0.0600%,23,0.0050%
珪,23,0.0600%,23,0.0050%
琦,22,0.0574%,23,0.0050%
睦,23,0.0600%,23,0.0050%
碧,23,0.0600%,23,0.0050%
纔,23,0.0600%,23,0.0050%
耻,23,0.0600%,23,0.0050%
脉,21,0.0548%,23,0.0050%
藍,23,0.0600%,23,0.0050%
街,22,0.0574%,23,0.0050%
裁,23,0.0600%,23,0.0050%
裔,23,0.0600%,23,0.0050%
認,21,0.0548%,23,0.0050%
讒,23,0.0600%,23,0.0050%
輦,21,0.0548%,23,0.0050%
逮,23,0.0600%,23,0.0050%
隙,23,0.0600%,23,0.0050%
靡,23,0.0600%,23,0.0050%
顕,22,0.0574%,23,0.0050%
馴,23,0.0600%,23,0.0050%
鮮,23,0.0600%,23,0.0050%
𠫅,21,0.0548%,23,0.0050%
𡊨,23,0.0600%,23,0.0050%
𢈱,22,0.0574%,23,0.0050%
𣌉,23,0.0600%,23,0.0050%
𥚆,22,0.0574%,23,0.0050%
𨍦,23,0.0600%,23,0.0050%
𪬡,23,0.0600%,23,0.0050%
𫀅,22,0.0574%,23,0.0050%
𭫨,22,0.0574%,23,0.0050%
󰉺,23,0.0600%,23,0.0050%
䔲,22,0.0574%,22,0.0048%
井,22,0.0574%,22,0.0048%
僎,21,0.0548%,22,0.0048%
儂,20,0.0522%,22,0.0048%
兎,22,0.0574%,22,0.0048%
兑,21,0.0548%,22,0.0048%
咨,22,0.0574%,22,0.0048%
喬,18,0.0470%,22,0.0048%
姻,21,0.0548%,22,0.0048%
姿,21,0.0548%,22,0.0048%
宸,22,0.0574%,22,0.0048%
帽,20,0.0522%,22,0.0048%
幔,22,0.0574%,22,0.0048%
徙,21,0.0548%,22,0.0048%
悭,20,0.0522%,22,0.0048%
撾,22,0.0574%,22,0.0048%
操,22,0.0574%,22,0.0048%
旺,19,0.0496%,22,0.0048%
暈,22,0.0574%,22,0.0048%
曳,22,0.0574%,22,0.0048%
柵,20,0.0522%,22,0.0048%
梟,22,0.0574%,22,0.0048%
毫,22,0.0574%,22,0.0048%
狄,22,0.0574%,22,0.0048%
瑱,20,0.0522%,22,0.0048%
矜,22,0.0574%,22,0.0048%
禽,21,0.0548%,22,0.0048%
紏,21,0.0548%,22,0.0048%
縁,22,0.0574%,22,0.0048%
羊,20,0.0522%,22,0.0048%
羽,22,0.0574%,22,0.0048%
蜀,21,0.0548%,22,0.0048%
衍,22,0.0574%,22,0.0048%
覽,22,0.0574%,22,0.0048%
貯,22,0.0574%,22,0.0048%
逾,22,0.0574%,22,0.0048%
那,22,0.0574%,22,0.0048%
郑,22,0.0574%,22,0.0048%
魄,20,0.0522%,22,0.0048%
𠧨,22,0.0574%,22,0.0048%
𢒎,22,0.0574%,22,0.0048%
𨁪,22,0.0574%,22,0.0048%
𨻫,22,0.0574%,22,0.0048%
𩔗,21,0.0548%,22,0.0048%
𬮙,22,0.0574%,22,0.0048%
󰂇,22,0.0574%,22,0.0048%
󰰽,22,0.0574%,22,0.0048%
䏧,21,0.0548%,21,0.0046%
亞,21,0.0548%,21,0.0046%
傘,21,0.0548%,21,0.0046%
劄,21,0.0548%,21,0.0046%
効,21,0.0548%,21,0.0046%
叙,21,0.0548%,21,0.0046%
吲,21,0.0548%,21,0.0046%
唆,21,0.0548%,21,0.0046%
嘲,21,0.0548%,21,0.0046%
奠,21,0.0548%,21,0.0046%
孕,21,0.0548%,21,0.0046%
掃,21,0.0548%,21,0.0046%
措,21,0.0548%,21,0.0046%
晚,21,0.0548%,21,0.0046%
梧,21,0.0548%,21,0.0046%
欧,21,0.0548%,21,0.0046%
洒,21,0.0548%,21,0.0046%
涉,21,0.0548%,21,0.0046%
痛,21,0.0548%,21,0.0046%
禹,21,0.0548%,21,0.0046%
繋,21,0.0548%,21,0.0046%
腰,20,0.0522%,21,0.0046%
臻,21,0.0548%,21,0.0046%
蔽,21,0.0548%,21,0.0046%
藴,21,0.0548%,21,0.0046%
袍,21,0.0548%,21,0.0046%
貳,20,0.0522%,21,0.0046%
賓,21,0.0548%,21,0.0046%
輙,20,0.0522%,21,0.0046%
邦,21,0.0548%,21,0.0046%
銳,21,0.0548%,21,0.0046%
鑠,21,0.0548%,21,0.0046%
韓,20,0.0522%,21,0.0046%
韶,21,0.0548%,21,0.0046%
𠽖,21,0.0548%,21,0.0046%
𢺺,21,0.0548%,21,0.0046%
𣘃,21,0.0548%,21,0.0046%
𥘷,21,0.0548%,21,0.0046%
𨓡,21,0.0548%,21,0.0046%
𪀄,21,0.0548%,21,0.0046%
𮥷,20,0.0522%,21,0.0046%
󰟸,21,0.0548%,21,0.0046%
󰟹,21,0.0548%,21,0.0046%
󰡫,20,0.0522%,21,0.0046%
㢤,20,0.0522%,20,0.0044%
丘,19,0.0496%,20,0.0044%
佗,17,0.0444%,20,0.0044%
倖,20,0.0522%,20,0.0044%
協,20,0.0522%,20,0.0044%
卜,19,0.0496%,20,0.0044%
哨,20,0.0522%,20,0.0044%
嗷,16,0.0418%,20,0.0044%
实,20,0.0522%,20,0.0044%
峩,19,0.0496%,20,0.0044%
慧,20,0.0522%,20,0.0044%
憐,20,0.0522%,20,0.0044%
戢,20,0.0522%,20,0.0044%
昱,18,0.0470%,20,0.0044%
晏,20,0.0522%,20,0.0044%
染,20,0.0522%,20,0.0044%
棟,20,0.0522%,20,0.0044%
橷,20,0.0522%,20,0.0044%
洡,20,0.0522%,20,0.0044%
漆,19,0.0496%,20,0.0044%
煙,20,0.0522%,20,0.0044%
犀,20,0.0522%,20,0.0044%
盧,20,0.0522%,20,0.0044%
箭,19,0.0496%,20,0.0044%
簪,18,0.0470%,20,0.0044%
粧,20,0.0522%,20,0.0044%
罵,19,0.0496%,20,0.0044%
胷,20,0.0522%,20,0.0044%
艱,19,0.0496%,20,0.0044%
芳,20,0.0522%,20,0.0044%
莅,20,0.0522%,20,0.0044%
裨,20,0.0522%,20,0.0044%
販,20,0.0522%,20,0.0044%
郊,17,0.0444%,20,0.0044%
鐘,17,0.0444%,20,0.0044%
頑,20,0.0522%,20,0.0044%
騷,20,0.0522%,20,0.0044%
鳯,20,0.0522%,20,0.0044%
𢫔,20,0.0522%,20,0.0044%
𣘈,20,0.0522%,20,0.0044%
𪮙,20,0.0522%,20,0.0044%
󰉨,20,0.0522%,20,0.0044%
㙴,19,0.0496%,19,0.0041%
佑,19,0.0496%,19,0.0041%
你,18,0.0470%,19,0.0041%
佳,19,0.0496%,19,0.0041%
侈,19,0.0496%,19,0.0041%
俾,19,0.0496%,19,0.0041%
儼,18,0.0470%,19,0.0041%
凱,19,0.0496%,19,0.0041%
垠,19,0.0496%,19,0.0041%
場,19,0.0496%,19,0.0041%
塗,19,0.0496%,19,0.0041%
嫌,19,0.0496%,19,0.0041%
嫩,16,0.0418%,19,0.0041%
嬪,18,0.0470%,19,0.0041%
岌,17,0.0444%,19,0.0041%
巢,18,0.0470%,19,0.0041%
惮,19,0.0496%,19,0.0041%
拉,19,0.0496%,19,0.0041%
拖,19,0.0496%,19,0.0041%
拿,19,0.0496%,19,0.0041%
揀,19,0.0496%,19,0.0041%
暨,19,0.0496%,19,0.0041%
槩,19,0.0496%,19,0.0041%
殷,19,0.0496%,19,0.0041%
汚,19,0.0496%,19,0.0041%
沱,19,0.0496%,19,0.0041%
淚,19,0.0496%,19,0.0041%
淪,19,0.0496%,19,0.0041%
